,price,rating,n_features,brand_name,capacity_value,capacity_unit,star_rating,has_star_rating,has_inverter,has_wifi,has_voice_control,has_app_control,smart_connectivity_score,ac_split,ac_window,ac_pm25_filter,ac_hepa_filter,ac_auto_clean,ac_hot_and_cold,ac_copper_condenser,ac_Dehumidification,ac_Turbo Mode,ac_Self Diagnosis,ref_single_door,ref_multi_door,ref_chest_freezer,ref_side_door,ref_french_door,ref_double_door,ref_triple_door,ref_frost_free,ref_convertible,ref_door_alarm,ref_door_lock,ref_dispenser,ref_door_display,ref_mini,wm_fully_automatic,wm_semi_automatic,wm_with_dryer,wm_washer_only,wm_dryer_only,wm_front_load,wm_top_load,wm_inbuilt_heater,wm_quick_wash,wm_ss_tub,wm_child_lock,wm_shock_proof,wm_display,log_price,capacity_sq,n_features_sq,rating_sq,capacity_n_features,capacity_rating,rating_n_features,smart_intensity,ac_premium_features,ref_door_complexity,wm_tech_level,features_above_avg,rating_above_avg,capacity_above_avg,brand_frequency,category_Refrigerator,category_WashingMachine,_category_backup
43,21990,4.15,12,marq,1.0,Ton,3.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998388557730848,1.0,144,17.222500000000004,12.0,4.15,49.800000000000004,0,0,0,0,1.0416253716551047,-0.22675916749256597,-0.4458077304261645,39,False,False,AC
44,28990,4.35,10,hitachi,1.5,Ton,5.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.274740715974103,2.25,100,18.922499999999996,15.0,6.5249999999999995,43.5,0,0,0,0,-0.9583746283448953,-0.026759167492566682,0.054192269573835494,69,False,False,AC
45,37190,4.1,12,blue star,1.5,Ton,3.0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.523822075506256,2.25,144,16.81,18.0,6.1499999999999995,49.199999999999996,0,0,0,0,1.0416253716551047,-0.2767591674925667,0.054192269573835494,165,False,False,AC
46,27490,4.35,11,marq,1.0,Ton,5.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.221613957361983,1.0,121,18.922499999999996,11.0,4.35,47.849999999999994,0,0,0,0,0.041625371655104715,-0.026759167492566682,-0.4458077304261645,39,False,False,AC
47,41990,4.35,10,panasonic,1.5,Ton,3.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.645210588588755,2.25,100,18.922499999999996,15.0,6.5249999999999995,43.5,0,0,0,0,-0.9583746283448953,-0.026759167492566682,0.054192269573835494,123,False,False,AC
48,40990,4.3,11,lg,1.5,Ton,3.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.621107809394994,2.25,121,18.49,16.5,6.449999999999999,47.3,0,0,0,0,0.041625371655104715,-0.0767591674925665,0.054192269573835494,261,False,False,AC
49,31790,4.1,10,godrej,1.5,Ton,3.0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.366938509842946,2.25,100,16.81,15.0,6.1499999999999995,41.0,0,1,0,0,-0.9583746283448953,-0.2767591674925667,0.054192269573835494,230,False,False,AC
50,36490,4.25,12,carrier,1.5,Ton,3.0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.504820933823419,2.25,144,18.0625,18.0,6.375,51.0,0,0,0,0,1.0416253716551047,-0.12675916749256633,0.054192269573835494,64,False,False,AC
51,29990,4.35,11,blue star,1.0,Ton,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.30865261563529,1.0,121,18.922499999999996,11.0,4.35,47.849999999999994,0,0,0,0,0.041625371655104715,-0.026759167492566682,-0.4458077304261645,165,False,False,AC
52,37990,4.55,12,panasonic,1.5,Ton,3.0,1,1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.54510456855174,2.25,144,20.702499999999997,18.0,6.824999999999999,54.599999999999994,6,0,0,0,1.0416253716551047,0.1732408325074335,0.054192269573835494,123,False,False,AC
53,28990,4.7,12,marq,1.5,Ton,5.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.274740715974103,2.25,144,22.090000000000003,18.0,7.050000000000001,56.400000000000006,0,0,0,0,1.0416253716551047,0.32324083250743385,0.054192269573835494,39,False,False,AC
54,24990,4.25,12,marq,1.5,Ton,3.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.126271039034782,2.25,144,18.0625,18.0,6.375,51.0,0,0,0,0,1.0416253716551047,-0.12675916749256633,0.054192269573835494,39,False,False,AC
55,31990,4.55,10,voltas,1.5,Ton,3.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.373209892223665,2.25,100,20.702499999999997,15.0,6.824999999999999,45.5,0,0,0,0,-0.9583746283448953,0.1732408325074335,0.054192269573835494,218,False,False,AC
56,23890,4.3,10,voltas,0.6,Ton,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.08125709796202,0.36,100,18.49,6.0,2.5799999999999996,43.0,0,0,0,0,-0.9583746283448953,-0.0767591674925665,-0.8458077304261645,218,False,False,AC
57,34419,4.05,11,lg,1.5,Ton,5.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.44639306976553,2.25,121,16.4025,16.5,6.074999999999999,44.55,0,0,0,0,0.041625371655104715,-0.3267591674925665,0.054192269573835494,261,False,False,AC
