,price,rating,category,n_features,brand_name,capacity_value,capacity_unit,star_rating,has_star_rating,has_inverter,has_wifi,has_voice_control,has_app_control,smart_connectivity_score,model_year,is_recent_model,appliance_age,ac_split,ac_window,ac_pm25_filter,ac_hepa_filter,ac_auto_clean,ac_hot_and_cold,ac_copper_condenser,ac_Dehumidification,ac_Turbo Mode,ac_Self Diagnosis,ref_single_door,ref_multi_door,ref_chest_freezer,ref_side_door,ref_french_door,ref_double_door,ref_triple_door,ref_frost_free,ref_convertible,ref_door_alarm,ref_door_lock,ref_dispenser,ref_door_display,ref_mini,wm_fully_automatic,wm_semi_automatic,wm_with_dryer,wm_washer_only,wm_dryer_only,wm_front_load,wm_top_load,wm_inbuilt_heater,wm_quick_wash,wm_ss_tub,wm_child_lock,wm_shock_proof,wm_display
74,31650,4.7,AC,10,godrej,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,22990,4.6,AC,11,marq,1.0,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,29990,4.7,AC,11,marq,1.5,Ton,5.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,32490,4.3,AC,11,hisense,1.5,Ton,5.0,1,1,0,0,0,0,2026,1,0,1,0,1,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,44950,4.65,AC,12,hitachi,1.5,Ton,3.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,31490,4.0,AC,10,hitachi,1.5,Ton,3.0,1,1,0,0,0,0,2025,1,1,1,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,42850,4.1,AC,12,haier,1.6,Ton,5.0,1,1,1,0,1,2,2025,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,50990,4.25,AC,12,godrej,2.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,32999,4.65,AC,11,voltas,1.5,Ton,3.0,1,1,0,0,0,0,2025,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,50490,4.45,AC,13,haier,1.6,Ton,5.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,48490,4.05,AC,11,blue star,2.0,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,58500,4.15,AC,12,hitachi,2.0,Ton,3.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,50990,4.6,AC,13,haier,1.6,Ton,5.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,42990,4.25,AC,13,lloyd,1.5,Ton,5.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,35998,4.15,AC,10,hitachi,1.5,Ton,3.0,1,1,0,0,0,0,,,,1,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,37690,4.3,AC,12,voltas,1.5,Ton,3.0,1,1,1,0,1,2,2026,1,0,1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,42990,4.65,AC,11,lg,1.0,Ton,5.0,1,1,0,0,0,0,2025,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,38650,4.0,AC,12,samsung,1.5,Ton,4.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,32990,4.65,AC,10,voltas,1.5,Ton,5.0,1,1,0,0,0,0,2025,1,1,0,1,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,34490,4.55,AC,12,daikin,1.5,Ton,3.0,1,1,0,0,0,0,2025,1,1,1,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,33490,4.7,AC,11,godrej,1.5,Ton,5.0,1,1,0,0,0,0,2025,1,1,1,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,30490,4.5,AC,13,panasonic,1.5,Ton,3.0,1,1,1,1,1,3,2025,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,31499,4.35,AC,10,carrier,1.5,Ton,3.0,1,0,0,0,0,0,2026,1,0,0,1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,33990,4.15,AC,11,marq,2.0,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,29860,4.6,AC,12,godrej,1.5,Ton,5.0,1,1,0,0,0,0,2023,0,3,0,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,25509,4.6,AC,9,voltas,1.0,Ton,3.0,1,0,0,0,0,0,2023,0,3,0,1,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,47990,4.45,AC,12,mitsubishi,1.5,Ton,3.0,1,1,0,0,0,0,2025,1,1,1,0,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,27990,4.7,AC,10,carrier,1.2,Ton,5.0,1,0,0,0,0,0,,,,1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,27990,4.55,AC,11,realme,1.5,Ton,3.0,1,1,1,0,1,2,2026,1,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,35990,4.35,AC,11,ifb,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,34490,4.3,AC,11,daikin,1.5,Ton,3.0,1,1,0,0,0,0,2025,1,1,1,0,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,39990,4.65,AC,13,blue star,1.5,Ton,3.0,1,1,1,0,1,2,2026,1,0,1,0,1,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,39990,4.55,AC,13,mitsubishi,1.0,Ton,3.0,1,1,1,0,1,2,2025,1,1,1,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,45989,4.15,AC,10,panasonic,1.5,Ton,5.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,54990,4.3,AC,13,mitsubishi,1.6,Ton,4.0,1,1,1,0,1,2,2025,1,1,1,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,36990,4.0,AC,13,carrier,1.5,Ton,3.0,1,1,1,1,1,3,2026,1,0,1,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,40489,4.55,AC,12,panasonic,1.5,Ton,3.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,39990,4.5,AC,13,haier,1.5,Ton,4.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,52990,4.35,AC,13,haier,1.8,Ton,5.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,38990,4.0,AC,10,blue star,1.5,Ton,2.0,1,0,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,33490,4.05,AC,11,blue star,1.5,Ton,3.0,1,0,0,0,0,0,2026,1,0,0,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,49990,4.65,AC,11,lg,1.5,Ton,5.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,33899,4.0,AC,10,lloyd,1.5,Ton,3.0,1,1,0,0,0,0,2025,1,1,1,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,32990,4.25,AC,11,godrej,1.5,Ton,4.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,29490,4.25,AC,10,godrej,1.5,Ton,3.0,1,1,0,0,0,0,2025,1,1,1,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,31790,4.35,AC,12,lloyd,1.5,Ton,3.0,1,1,0,0,0,0,2024,1,2,1,0,1,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
